store_name,store_address,store_contact,brand,review_1,review_2,review_3,review_4,review_5,businesshours,category,rating,url,GMap_url,price_range,lat,lng,店名from Google,住所from Google,district,brandlogo_id
ｍａｍｍ　ｍｉａ（マンマミーア,東京都千代田区一ツ橋　１丁目１－１,0332142809,ヱビス樽生,"【ボリュームたっぷりの茹で上げパスタの名店、ミートソースが美味しければハズレなし、を実感できる人気店‼︎】

竹橋駅直結のパレスサイドビルの1階にあるパスタ専門店です。アルデンテに茹で上げられたパスタはトマト系、オイル系、クリーム系、和風と豊富なメニューを誇ります。
パスタのボリュームも十分、デフォルトで他のお店の大盛りくらいありますので、コスパは大変良いと思います。ランチタイムでは特にセットものはないですが、単品でサラダなどをつけてもリーズナブルな価格帯なので、気軽に利用できると思います。",めちゃくちゃボリュームたっぷりなパスタ屋さんです。メニューも豊富だし美味しい。大盛の値段は張るけど2.5人前ぐらいのボリュームなのでコスパはとても良い。あと粉チーズをリクエストすれば無料でトッピング出来るのでオススメです。,"初訪問。
いつもランチタイムには大行列ができているマンマミーアさん。
ランチが遅くなったこの日、やっと行くことができました。

メニューはたらこ系なども豊富で、個人的な好みドンピシャのラインナップ。
この日はたらこ、しめじ、なすのパスタを注文。

しっかりとたらこが入ったパスタは、普通盛りでもしっかりとしたボリューム。
見た目も綺麗で、当然味も期待していた味。
ひとくち食べて、これこれ、と心の中でつぶやきました。

ここは通います。
ご馳走様でした！","ランチで利用。
20分程並びました。
付近の会社勤務の方とおぼしき人達が多数並んでいらっしゃいます。
ソレなりに回転が良いので、30分は待つことはないかな。
しかしサラリーマンの昼飯時の20分は貴重。
列を見て諦める方も多数（笑）。
ミニサラダもちゃんと美味しい。
あとはとにかく、パスタの量が多い!
多分、他店の1.5倍はあると思う。
でも、量だけでなく美味しいので、行列が出来るのが判ります。
同じビル内に、ランチができる店は多数ありますが、他は並べず入れるみたい。
小食じゃない方ならオススメ。","ランチ利用。絶望とミニサラダを注文。ミニサラダにはキッシュを細かく切った物が入っていて良かった。パスタもソースがとても美味しかった。量が少し多め。麺少なめの注文も出来るようだ。
12時になる前には満席となる。席の回転は早め。","Monday: 11時30分～15時00分, 17時00分～21時00分
Tuesday: 11時30分～15時00分, 17時00分～21時00分
Wednesday: 11時30分～15時00分, 17時00分～21時00分
Thursday: 11時30分～15時00分, 17時00分～21時00分
Friday: 11時30分～15時00分, 17時00分～21時00分
Saturday: 定休日
Sunday: 定休日","restaurant, food, point_of_interest, establishment",4.0,http://mammamia.ehoh.net/,https://maps.google.com/?cid=8664494395299338606,2,35.6906916,139.7582378,イタリア食堂 マンマミーア,日本、〒100-0003 東京都千代田区一ツ橋１丁目１−１,千代田区,2
かっぽうぎ　竹橋パレスサイドビル店,東京都千代田区一ツ橋　１丁目１－１　パレスサイドビル　１Ｆ,0352232225,黒ラベル樽生,"成行で入った店です。
何と1コイン500円ランチの店でした。
棚に置かれている料理の中から、メインを1つ、小鉢を２つをとり、ごはんと味噌汁がつきます。

私はメインを唐揚げにし、小鉢は冷奴とカボチャの煮物にしました。

メインは揚げ物だけでなく、魚もあります。
サラリーマンにとって、うってつけの定食ランチです。
500円の手軽さはたまりませんね。","【家庭の和食料理を楽しむならこちら、お昼の4品定食はお得感いっぱい‼︎】

竹橋のパレスサイドビルにある定食屋です。夜は居酒屋になるようです、
ランチタイムは4品定食屋の一択になります。
主菜、副菜3品、味噌汁、ご飯がついているもので、下手をすると自宅の食事より豪華かもσ(^_^;) 主菜は肉も魚もあり、通年でサンマの塩焼きを食べられるのも魅力的です。ご飯は白飯か十六刻米を選べ、野菜たっぷりの味噌汁は油揚げも入っていました。副菜の種類も豊富で、選ぶ時に迷うのは仕方ないですね。
テイクアウトもあるので、レジにはお客さんがいつも並んでいました。中華料理とカレーの街の中で、ちょっとほっとできる食事があるのはありがたい存在です。","週一で利用しています！
ランチは値上がりして990円(税込)ですが
定食食べたい時はどうしてもここ。

平日の13時過ぎは比較的空いているので
落ち着いて過ごせます✨
今日は余ったおかずを1皿サービスしてもらいました◎",ランチはカウンターに並んでるおかずから好きな物を取る方式なのに補充が少なく開店近くじゃないと半分も残ってない状態に…,皇居マラソン後に慰労会で利用しています🎵お上さんがユニークでいこいの広場です。,"Monday: 11時30分～14時00分, 17時30分～23時00分
Tuesday: 11時30分～14時00分, 17時30分～23時00分
Wednesday: 11時30分～14時00分, 17時30分～23時00分
Thursday: 11時30分～14時00分, 17時30分～23時00分
Friday: 11時30分～14時00分, 17時30分～23時00分
Saturday: 定休日
Sunday: 定休日","restaurant, food, point_of_interest, establishment",3.7,http://www.kappougi.jp/,https://maps.google.com/?cid=13177597944823021219,1,35.6908857,139.7576689,かっぽうぎ 竹橋パレスサイドビル店,日本、〒100-0003 東京都千代田区一ツ橋１丁目１−１ パレスサイドビル 1階,千代田区,1
ニユートーキヨー　パレスサイド店,東京都千代田区一ツ橋　１丁目１－１　パレスサイドビル地下１階,0332162411,黒ラベル樽生,"ランチで利用。ハンバーグはおいしかったです。王道の味でした。
付け合せもたっぷりでお腹いっぱいでした。スープも意外に具が多く満足しました。","ランチで利用。
特筆するような味と量ではない。
ドリンクとスープはセルフ、スマホからオーダーするシステム、店員は忙しそうにバタバタしてて落ち着かないけど1,500円は多分リピートはない。
立地だけで行列ができているというお店。
夜なんてましてや利用する気にもならない。","昔よく訪れたニュートーキョー。
何十年ぶりに、東京国立近代美術館を見る前に腹ごしらえしました。
毎日新聞社となりの地下を入るところに数店舗お店があり、こちらでランチをしました。
お肉をメインに扱ってるようで、唐揚げランチと、ステーキランチを頂きました。
ハンバーグは手こねらしく、美味しかったです。
ハンバーグ&カットステーキは、牛豚鶏と日によってステーキ肉が違うそうです。
牛に期待してましたが鶏でした…。
唐揚げは、小さいです。
お味噌汁、ドリンクは飲み放題（アイスティーとアイスコーヒーのみですが…）なので、ゆっくり利用したい方には、お得かも知れません。",ランチも含めてお肉系のメニューが中心です。外食も減り奮発してビーフステーキ200gを注文しました。大盛りは有料のようで注意してください。店内に喫煙所が有ります(*ノω`*),"肉食系ランチ…
天気も良く、皇居外周には人でがかなり出ており、皇居周辺の桜鑑賞に訪れている光景が見られる中、平川門前にある、毎日新聞社(パレスサイドビル)の地下レストランフロアに潜入し
牛肉じゅうじゅう鉄板焼きを注文。煙が立ち上がりネーミング通りじゅうじゅうと効果音。熱々の鉄板が運ばれて来た。タレの匂いが、これまた食欲をそそる。脇にはスクランブルエッグが添えられて、肉の下にある野菜と一緒に頬張ると満足感ありありです。
美味しかった。ご馳走さまです。","Monday: 11時30分～21時00分
Tuesday: 11時30分～21時00分
Wednesday: 11時30分～22時00分
Thursday: 11時30分～22時00分
Friday: 11時30分～22時00分
Saturday: 定休日
Sunday: 定休日","restaurant, bar, food, point_of_interest, establishment",3.4,https://shop.newtokyo.co.jp/newtokyo/paresside/,https://maps.google.com/?cid=4025477321210333535,2,35.6909039,139.7571069,ニユートーキヨー パレスサイドビル店,日本、〒100-0003 東京都千代田区一ツ橋１丁目１−１ パレスサイドビル 地下 1階,千代田区,1
如水会館　一橋クラブ,東京都千代田区一ツ橋　２丁目１－１,0332656054,ヱビス樽生,"【年に一度テナントに解放される会員制クラブでハイソなランチタイム(^ ^)】

一橋大学のOB会である如水会の会員専用レストランです。年に一度、如水会ビルのテナント関係者に解放される期間があり、ランチやバーを利用できます。料理やドリンクのお値段はこの界隈のお店とほとんど変わりません。むしろお安めかもしれません。
皇居を望むラウンジも利用できるので、期間限定ですがハイレベルな雰囲気を楽しめますので、機会がある方はぜひ行かれてはいかがでしょうか?",如水会館最上階の14階にある。如水会員と同伴者のみ入店可。皇居に面しており、眺めは格別に良い。東京タワーとスカイツリーも見え、夜景も素晴らしい。フードメニューも一通りあり、値段も安め。平日のみの営業であり、客層はほぼご年配の方々のみ。,以前如水会館のマーキュリーで昼食しましたが友人が一橋クラブの会員なっていたので友人らと初めて来店しました、リーズナブルで美味しくいただきました、ご馳走様でした。,,,"Monday: 11時30分～14時00分, 17時00分～21時00分
Tuesday: 11時30分～14時00分, 17時00分～21時00分
Wednesday: 11時30分～14時00分, 17時00分～21時00分
Thursday: 11時30分～14時00分, 17時00分～21時00分
Friday: 11時30分～14時00分, 17時00分～21時00分
Saturday: 11時30分～14時00分, 17時00分～21時00分
Sunday: 11時30分～14時00分, 17時00分～21時00分","point_of_interest, establishment",4.4,https://www.josuikai.net/club14/,https://maps.google.com/?cid=12917784580774448824,情報なし,35.6920295,139.7583695,一橋クラブ レストラン,日本、〒101-0003 東京都千代田区一ツ橋２丁目１−１ 如水会館 14F,千代田区,2
如水会館,東京都千代田区一ツ橋　２丁目１－１,0332611101,黒ラベル樽生,ウインターファミリーバイキングに伺いました。はじめにオードブルが出て、それからはビュッフェ形式です。多種で、何を食べても美味しかったです。特に、ヒレのソテーが柔らかくて絶品でした。東京會舘らしく、ダブルコンソメのスープ、ローストビーフやマロンシャンテリーも満喫しました。2時間ゆっくりいただきました。,"如水会館 の中にあるレストラン マーキュリー でランチをしました。
仕事の関係者との会合でした。

静かなレストランで
食事も適量で
非常にリーズナブルで
使いやすい場所です。",美味しい料理を楽しめるレストランが揃っています。神保町駅のA8番出口から出て直ぐの便利なロケーションに有ります。,"2022年10月16日(日)に利用。

ビュッフェスタイルのランチ付きショーに参加。

料理が人数分なくて早い者勝ち。

給仕の目配せも悪く、空いた皿を片付けるテーブルと放置するテーブルがあり、放置されたテーブルに座っていたので何度か呼び止めて片付けてもらう始末。

この会場でやるイベントには２度と参加したくないと感じた。

オススメしません。",如水会館3階の「○○の間」で、ランチのコース料理を頂きました。ここの「東京會舘伝統のダブルコンソメスープ」は、ホンモノの正真正銘のコンソメスープですごく美味しかったです。サラダも本格的で、またメインディッシュのサワラのムニエルも美味しかったです。,"Monday: 11時30分～21時30分
Tuesday: 11時30分～21時30分
Wednesday: 11時30分～21時30分
Thursday: 11時30分～21時30分
Friday: 11時30分～21時30分
Saturday: 11時30分～21時30分
Sunday: 11時30分～21時30分","bar, restaurant, food, point_of_interest, establishment",3.8,https://www.kaikan.co.jp/josui/,https://maps.google.com/?cid=2347246415937594107,情報なし,35.6920295,139.7583695,如水会館,日本、〒101-0003 東京都千代田区一ツ橋２丁目１−１ 如水会ビルディング,千代田区,1
元祖串八珍　岩本町店,東京都千代田区岩本町　２丁目５－９　パステルコート神田１Ｆ,0358229488,黒ラベル樽生,"居酒屋ランチなのかと敬遠していましたが、
口コミを見て訪問。
鶏もも肉丼990円をオーダー。
炭火焼きをうたうお店ゆえ、提供まで少し時間がかかります。
思いの外、ひとつのお肉が大きい物4つ、串にさされています。
こんがり焼けていて、甘辛のタレと白髪ネギ等の野菜が敷き詰められていて、なかなかの食べごたえ。
惜しいのは、大きいゆえにひとつが半生でした。
とても美味しく再訪したので、これがなければ、星4つにしていたかも。次はよく焼きでお願いします！","美味しい&安い、のコスパ最高串焼き屋さんです。
東京の東側に多店舗展開しているチェーン店のようですね。

・ちょい飲みセット...1,000円未満で、お酒なんでも1杯と、串焼き2本、キャベツ、モツ煮込み、小さめおつまみ(枝豆と薫製チーズとあと何か1つのうちどれかを選べます)という本当にコスパが良いセットがあります。

・納豆巻き串...とりつくねと納豆を焼いて海苔で巻いた串です。これがとにかく美味しい。2〜3本平気でいけます。

・鳥スープ...1杯は小さい湯飲みみたいなのに入ってますが、300円でお替わり自由。これも外せない。

あとは個人的には梅水晶をいつも頼んでます。

カウンターもあり1人飲みの人も結構いるので、1人でも気軽に入れます。

2020年4月から店内禁煙になったのも嬉しい。
ただ、コロナ対策なのか、入口のドアが開けっぱなしになっていて、出たすぐのところに灰皿が置いてあり煙草吸う人がいるので、時々店内に煙草の臭いが漂います。","普通の居酒屋さんがランチしてるだけかな、とあなどるなかれ。

安くてうまいです。基本丼物は、サラダ、スープ、漬けものがセットになっています。

もも焼き丼、炙り親子丼、どちらも食べましたが適当な食材で作ってる感じはせず、ちゃんとしています。

もも焼き丼はベースの焼き鳥が美味しい上にネギがちょうどアクセントになっていますし、親子丼なんかは良い炙り具合で甘みとともに香ばしい風味も感じられて最高です。

他の方の投稿で、親子丼のつゆがダクダクとありましたが、
私の時は一回は食べ終わった後ほんの少し余ったかな？という時もありましたが、二回目は特に余らなかったので改善されたのかもしれないですね。それか自分がつゆをたくさんすくったか笑

量も少ないわけでもないので、750円（税込825円）でこれだけの味であれば十分満足できると思います。
支払いもPayPay使えるのが何気に嬉しいです。",ここはチェーン店のようですが凄く美味しいです。ランチは私にしては少し割高なので月に数回訪れます。,"炭焼の親子丼を食べましたが、“つゆだく”過ぎて、私には味付けが濃すぎました。

丼の底に、つゆにご飯が浸った状態のもの2cmくらいを残してしまいました","Monday: 16時00分～23時00分
Tuesday: 16時00分～23時00分
Wednesday: 16時00分～23時00分
Thursday: 16時00分～23時00分
Friday: 16時00分～23時00分
Saturday: 定休日
Sunday: 定休日","restaurant, food, point_of_interest, establishment",3.8,http://www.webhosofoods.jp/,https://maps.google.com/?cid=2689583342582677957,1,35.6943491,139.7761703,元祖やきとり串八珍 岩本町店,日本、〒101-0032 東京都千代田区岩本町２丁目５−８ パステルコート神田岩本町 1F,千代田区,1
食堂　新,東京都千代田区神田猿楽町　１丁目２－４,08031037599,黒ラベル樽生,平日の午後12時45分ごろに訪問。すぐに席に案内されました。鯖の黒煮とアジフライの定食を注文、鯖の黒煮は骨まで食べられるほど柔らかく煮込まれていて優しい味付けです。アジフライはカリッと揚げられていて中身はジューシーで美味しかったです。,"ランチで伺いました
鯖の黒煮あじフライ定食をオーダー
鯖黒煮1切、小鉢２つ、お新香、しじみの味噌汁
あじフライのセット
先ずは鯖黒煮をメインにいただきました
骨を感じ無いほど煮込まれていて
やわらかくて美味しかったです
梅干しで一旦リセット
お膳提供から3分程であじフライ到着
揚げたてほくほくのあじフライ
珍しくご飯をおかわりしました
美味しかったです",".
•鯖の黒煮あじフライ定食　980円
・さば1切れ
・あじ1枚
・おばんざい2種
・お新香
・しじみ汁
.
神保町駅の近くにある食堂新さんでお昼ご飯。
お昼は鯖黒煮専門の定食屋さん。
夜はおでんや天ぷら、おばんざいが楽しめる居酒屋というこちら。
お昼の定食メニューはほとんど1000円以下という破格設定。
しかもご飯は1回おかわりできるし
小鉢も充実した至れり尽くせりで健康的な定食。
数種類ある定食メニューの中から
せっかくなので鯖の黒煮とあじフライがセットになったのを。
注文してからほぼ待ち時間なく目の前に登場！
お盆の上にずらりと並ぶおかず達にわくわく。
まずは初対面の鯖の黒煮から。
もうね、これがめちゃくちゃ美味しくって感動。
骨まで食べられるくらいほろっほろに煮込まれた鯖。
甘辛い秘伝のタレをしっかりまとった鯖は旨味たっぷり。
めちゃくちゃ美味しい！
一緒に添えられた南高梅の酸味がこれまた良い仕事してる！
ご飯のお供に最強すぎる。
鯖好きさんはもちろん、
鯖に抵抗ある方も好きになるお味。
そしてアジフライ！
表面さくっと香ばしく、中はふんわりふっくら。
身が引き締まっててどんどん食べ進めちゃう美味しさ。
たっぷりタルタルも嬉しい！
これまたご飯泥棒。
そしてね、こちらのご飯の炊き具合が個人的に好き。
もっちり水分量多めなご飯。
これがすんごく美味しい！！
好みのタイプは分かれるかもやけど、
私は好きなタイプのもっちりねっちり感。
お昼がしじみ汁ってのも嬉しいポイント。
美味しいうえに健康的なお昼ご飯に大満足。
12時過ぎには満席な盛況ぶり。
そりゃあこの美味しさにこのお値段は人気になるの納得。
また是非ともお伺いしたいなぁ。
ごちそうさまでした。
.","2023年7月7日にOpenされた新店舗
鯖黒煮専門店の『食堂新』
スタイリッシュな内装でおばんざいを取り扱う定食屋

キッチンカーから始まった食堂新。
店舗をオープンする前はキッチカーで販売。
各所で人気を博した「鯖の黒煮」が神保町の店舗でも味わえるように。

お店人気は鯖黒煮とアジフライ

この二つがいただける「鯖黒煮とアジフライ」定食が人気！
こちらの定食をランチでいただきました

✴︎ 二日間煮込んだ黒鯖煮
よく煮込まれた鯖は骨まで柔らかなので骨まで食べれます。
一緒に煮込んだ南高梅干しが入ってて甘しょっぱくて美味しい！
梅干しの酸味が鯖の旨味を向上！
ご飯が進みます！
白いご飯にとても合いますね😋

✴︎アジフライ
肉厚で揚げたてのサクサク！
自家製の和テイストのタルタルソースもとても美味しくて鯵フライにすごく合います

✴︎おばんざい2種
ひじきと蓮根と春雨の中華風和え

✴︎しじみ汁
味噌汁にしじみがたくさん！

✴︎ご飯は一回おかわりできます🍚

どれも好きなものばかり❤️

この内容で980円はとってもお得🉐

他にも天ぷら、チキン南蛮、海老フライ付きの定食などいろいろな種類があります。どれも1000円以下でお釣りがきます。

ランチはとってもお得なので人気な理由がわかります☺️

夜はおでんと天ぷらとおばんざいなどもいただけます。

カジュアルな店内なのでお一人様でも気軽に入れるお店です👌","周辺の定食屋で一番美味しく、コスパも最強のお店。鯖の黒煮と揚げ物、おばんざいが２つと漬物１つ。ご飯も一回おかわりできて最高すぎる。1000円以内でお盆いっぱいの品数を楽しめるのは本当に嬉しい。よく料理をするが、一回の食事でこんなに数多くの副菜を用意するのは骨が折れるし、大変。だからこそ、満足感が凄い。

今回頼んだのは鯖の黒煮牡蠣フライ定食。
鯖の黒煮はとにかくお米に合う。旨みが強く、とても美味しい。柔らかいので食べやすく、トッピングのネギがいいアクセントになっている。鯖の黒煮の上には梅干しが丸々一つ乗っており、鯖を食べている途中にひとつまみすると、味のコントラストになって、よりご飯が進む。日本酒などのお酒も揃っているので酒飲みにもおすすめ。
揚げ物もこだわっていて全部美味しい。
おばんざいは言わずもがな、優しい味でホッとする美味しさ。このクチコミを見た人は是非言って欲しい。店主も優しいのでお気軽にどうぞ。",,"restaurant, food, point_of_interest, establishment",4.2,https://www.instagram.com/jimbocho_shokudou.arata/,https://maps.google.com/?cid=5181643693851118730,情報なし,35.6974634,139.7596275,食堂新,日本、〒101-0064 東京都千代田区神田猿楽町１丁目２−４ 富田屋ビル 1階,千代田区,1
松翁,東京都千代田区神田猿楽町　２丁目１－７,0332913529,ヱビス樽生,"御茶ノ水駅からしばらく歩いて男坂を下ると松翁さんがあります。
土曜日の昼下がりに訪れました。店内は混雑しておらず、ゆったりとした時間が流れています。

今回注文したのは、合いもり天ざる（3,250円、濃口）です。天ぷらは揚げたてが次々と提供され、白魚の天ぷらもありました。揚げたての天ぷらを岩塩。

生牡蠣は2個で920円。手前は三重産、奥は岩手三陸産です。小ぶりながら濃厚な三重産は美味しく、三陸産も絶妙な塩味が際立つ。

最後は鉄器で出されたそば湯をいただき終了。

そばも、天ぷらも、牡蠣も、すべて美味しかったね。","平日の１３時すぎに訪問。
客は一人しかいなかった。

いつも初見の蕎麦屋は
盛りとかけをダブルで頼むのだが‥

写真映えするので＆訪問のきっかけになった
田舎そばとそばの合いもり‥となると量が多いかな？

と思ってたらけんちん汁とのセットがあった。

頼んでみた。

まずけんちん汁が出てきた。
可もなく不可もない。
それほど旨味は感じない。

そして合いもり。
さすがに写真映えする。

ツユはすぐ分かる老舗っぽい味。

蕎麦湯が濃厚の上ずっしりしたヤカン？で
いい味出してる。
ごちそうさまでした。","とても静かな雰囲気で食事を静かにできたのは癒しでした。けんちん汁暖かくてホッと一息つけました！
蕎麦もコシがあって良い風味でした！","ココで頂戴したミニ冊子「神田蕎麦巡り紀行」によれば、1664年（寛文5年）に江戸の「けんどん蕎麦切り」が登場。これが現在の蕎麦の原型ということだから、神田の蕎麦が、最古の蕎麦屋の伝統を受け継ぐ地域ということで、確かに神田にはあまたの名店がありますが、松翁さんもそのうちの一つ。

ただ、松翁さんは、ここ神田猿楽町で創業40年なので一般には老舗の類であっても、神田の蕎麦としては新興系のお店になるのかもしれません。

■味・料理
1回目利用時は、2名で伺い天ざる（3,200円）＆牡蠣そば（2,000円）で計5,200円、2回目利用時は二食もり（生粉打ちそば＆変わりそば＝みかん系）で1,100円。３回目利用時は、めおともり1,100円。

天ざるは、中粉打ちそばと田舎蕎麦の組み合わせで、蕎麦の香りと食感が、手打ちならではの味わい。ちょっと冷たすぎるのと、若干蕎麦の水っ気が少なくて、パラパラ感がない感じはしました。

天ぷらの方は、エビと穴子や水槽から掬ってそのまま揚げているようで、店員さんが都度都度水槽からネタを出すところが、まるで本格天ぷら屋のよう。そしてカウンターと同じように、揚げたてをその都度お皿に乗せてくれます。

こんなお蕎麦屋さんもあるんだな、とちょっと不思議なお店です。もちろん値段相応に食材のクオリティーも高いし、天ぷらの腕前もまるで天ぷら職人のようなので、美味しくいただけます。

牡蠣そばも、見事な大きさのサイズの牡蠣が三個入る贅沢な蕎麦で、薄口醤油基調の見た目は薄いですが、ちゃんと味のある出汁。

ちなみに蕎麦つゆは、濃口の薄口の２種類あり、濃口は一般的なお蕎麦屋さんと同じ濃口醤油のお汁で、薄口の方は「店員さんが、こっちの方が塩っ気が強いですよ」とのように、塩味基調の出汁つゆで、他では見たことないタイプなので、繰り返し利用する場合は、好みに合わせて使い分けても面白いのでは、と思います。

変わり蕎麦のみかん蕎麦は、意外にも柑橘系がそばにマッチしてこれは美味しい。これも他ではあまり見かけないオリジナリティ高いそばでした。

めおともりは、蕎麦とひやむぎのセットで、ひやむぎは手打ちとのことですが一般的な冷麦で、できればツユは分けたほうがいいと思う。

ということで、見た目は老舗の普通のお蕎麦屋さんなんですが、いろいろオリジナリティーがあって他ではなかなか体験できないお蕎麦屋さん。

そば自体は、ボリュームもしっかりあって割高な感じはしないのですが、天ぷらや牡蠣などを追加すると、お値段が相当に高くなるので、その点は覚悟したほうがいいと思います。

■サービス・雰囲気
中はテーブル席のみでカウンターなし。日常使いする街中のどこにでもありそうな蕎麦屋なので、出てくる「高級料理」とのギャップにちょっと違和感を感じます。

サービスも、老舗の女将が給仕するような感じのここも至って街中の普通の蕎麦屋。

ということで、とても不思議なお蕎麦屋さんです。","蕎麦つゆが私好みでした、夏に合いました！

ここは蕎麦ツユが２種類あり、ざるそば（生粉蕎麦）、田舎蕎麦、もう一種類季節によって変わる蕎麦の３種類あるので、それぞれに合わせてツユを変えて楽しむ事も出来ます。普通田舎そばと言う太めなのですが、ここは比較的細いのも私が気に入っている点です。

こう言う単価が安いが雰囲気はそれなりに高級感がある店に、小金持がお大臣やりたく来て天ぷらとかアルコールをバンバン注文する輩はがいるのはどうしょうもないので諦めています","Monday: 11時30分～14時30分, 17時00分～20時00分
Tuesday: 11時30分～14時30分, 17時00分～20時00分
Wednesday: 11時30分～14時30分, 17時00分～20時00分
Thursday: 11時30分～14時30分, 17時00分～20時00分
Friday: 11時30分～14時30分, 17時00分～20時00分
Saturday: 11時30分～15時30分
Sunday: 定休日","restaurant, food, point_of_interest, establishment",4.1,https://twitter.com/teuchiman,https://maps.google.com/?cid=14312786412896702169,2,35.6991495,139.758853,松翁(まつおう),日本、〒101-0064 東京都千代田区神田猿楽町２丁目１−７,千代田区,2
笑酒,東京都千代田区神田猿楽町　２丁目２－１澤田ビル１Ｆ,0332910048,琥珀ヱビス,"1ヶ月前から予約して来れた念願のお店です

お酒のアテがいっぱいでチョイスに迷いました
どれも美味しくいただきました
生ビールも日本酒も美味しくいただきました

そして折り紙の天才少年に出会えました！
写真はタコとロブスター　感覚的に折るそうです
「あんたすごいな〜」を連呼してました
いい夜でした！","日本酒も充実した居酒屋さん
酒のアテが豊富で、食事でもちょい呑みでも良さそうなお店でした。

店主も気さくで話しやすい感じです。
お通しがかなりしっかりしていて、これだけで数杯飲めるのでは？という充実ぶりでした。","リピ利用。土曜の17時、予約なしで入れました。相変わらずおしゃれで美味しいお通しに癒され、日本酒、焼酎の豊富なお酒のメニューに悩みました。
コロナ禍で空いていましたが、制限前は予約しないと平日入れませんでした。白子は嫌いなのですが、フグと聞いて天ぷらを頂いたらとても美味しかったです。","お通しから刺身、一品料理から日本酒のラインナップまで全てが素晴らしい！
銀座、赤坂辺りだと倍の値段でしょう。",兎に角、料理の味付けが自分好み!!お値段もリーズナブル。何度も足を運びたい所。,"Monday: 定休日
Tuesday: 17時00分～0時00分
Wednesday: 17時00分～0時00分
Thursday: 17時00分～0時00分
Friday: 17時00分～0時00分
Saturday: 17時00分～0時00分
Sunday: 16時00分～23時00分","restaurant, food, point_of_interest, establishment",4.3,https://tabelog.com/tokyo/A1310/A131003/13154986/,https://maps.google.com/?cid=278238839069807387,情報なし,35.6986974,139.7590178,笑酒,日本、〒101-0064 東京都千代田区神田猿楽町２丁目２−１,千代田区,3
ふらっと日な田,東京都千代田区神田猿楽町　２丁目２－６ビューノＳ１階,0368110425,琥珀ヱビス,"前から気になってたので入ってみたら、まさかのお気に入りのお店の姉妹店。
安定の美味しさと居心地の良さ。
食べログでは「居酒屋」とカテゴライズされてますが、クオリティはきちんとした和食店です。","美味しいお酒（今回は、どぶろく、ハイボール）と気の利いた肴、、落ち着いて飲めるなぁ、、、
しっぽりと過ごせる空間。ここは良い。","カウンター10席のみのお店です✨写メの「ちょっとずつ」があれば、美味しくお酒がすすみます‼️
大分のお酒が多いようですよ～ 雰囲気もイイです✨ 金曜日は混むらしいので、ぜひ予約を🍺👍","お料理がとても美味しくて、お店の雰囲気も最高！
おひとり様でも入りやすく、落ち着いた時間を過ごせます。","店には、バイトの子がひとり。
店長は、他の店にヘルプで出ていて呼べば来ますと言われて、君が出来るものをつまんで帰るというと外人が6人来たので、流石に店長帰ってきたので、揚げ物頼んだら待てど暮らせど出てこないのでお勘定と言ったら、もう顔出さないで下さいと言われた。ワンオペでテンパルのは解るが？
ホスピタリティーゼロです。","Monday: 17時00分～0時00分
Tuesday: 17時00分～0時00分
Wednesday: 17時00分～0時00分
Thursday: 17時00分～0時00分
Friday: 17時00分～0時00分
Saturday: 17時00分～0時00分
Sunday: 定休日","restaurant, food, point_of_interest, establishment",4.2,https://hinata-jimbocho.jp/,https://maps.google.com/?cid=16696666054071516141,情報なし,35.6988305,139.7585325,ふらっと日な田,日本、〒101-0064 東京都千代田区神田猿楽町２丁目２−６ ビューノS 1階,千代田区,3
